"REF_DATE","GEO","DGUID","Sex","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2020","Prince Edward Island","2016A000211","Both sexes","90 to 94 years","Persons","249","units","0","v31226602","3.1.126","935","","","","0"
"2020","Prince Edward Island","2016A000211","Both sexes","95 to 99 years","Persons","249","units","0","v31226608","3.1.132","281","","","","0"
"2020","Prince Edward Island","2016A000211","Both sexes","100 years and over","Persons","249","units","0","v31226614","3.1.138","45","","","","0"
"2020","Prince Edward Island","2016A000211","Both sexes","Median age","Years","308","units","0","v467319","3.1.105","42.9","","","","1"
"2020","Nova Scotia","2016A000212","Both sexes","All ages","Persons","249","units","0","v467613","4.1.1","979351","","","","0"
"2020","Nova Scotia","2016A000212","Both sexes","0 to 4 years","Persons","249","units","0","v467829","4.1.7","42443","","","","0"
"2020","Nova Scotia","2016A000212","Both sexes","5 to 9 years","Persons","249","units","0","v467643","4.1.13","46177","","","","0"
"2020","Nova Scotia","2016A000212","Both sexes","10 to 14 years","Persons","249","units","0","v467661","4.1.19","48170","","","","0"
"2020","Nova Scotia","2016A000212","Both sexes","15 to 19 years","Persons","249","units","0","v467682","4.1.25","50776","","","","0"
"2020","Nova Scotia","2016A000212","Both sexes","20 to 24 years","Persons","249","units","0","v467703","4.1.31","61556","","","","0"
"2020","Nova Scotia","2016A000212","Both sexes","25 to 29 years","Persons","249","units","0","v467721","4.1.37","63359","","","","0"
"2020","Nova Scotia","2016A000212","Both sexes","30 to 34 years","Persons","249","units","0","v467742","4.1.43","61264","","","","0"
"2020","Nova Scotia","2016A000212","Both sexes","35 to 39 years","Persons","249","units","0","v467760","4.1.49","58683","","","","0"
"2020","Nova Scotia","2016A000212","Both sexes","40 to 44 years","Persons","249","units","0","v467781","4.1.55","56907","","","","0"
"2020","Nova Scotia","2016A000212","Both sexes","45 to 49 years","Persons","249","units","0","v467802","4.1.61","61194","","","","0"
"2020","Nova Scotia","2016A000212","Both sexes","50 to 54 years","Persons","249","units","0","v467820","4.1.67","65276","","","","0"
"2020","Nova Scotia","2016A000212","Both sexes","55 to 59 years","Persons","249","units","0","v467841","4.1.73","78780","","","","0"
